,Taken from: https://afltables.com/afl/seas/ladders/laddersyby.html,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
57,Carlton,12,15.0,17.0,18.0,15.0,14.0,12.0,11.0,12.0,11.0,10.0,11.0,11.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,14.0,
58,Gold Coast,3,3.0,2.0,5.0,7.0,10.0,11.0,13.0,15.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,
59,Fremantle,18,17.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
60,Brisbane Lions,15,16.0,18.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,
61,Essendon,16,13.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,
62,[Top],,,,,,,,,,,,,,,,,,,,,,,,
63,2015 Ladder Positions (18 teams),,,,,,,,,,,,,,,,,,,,,,,,
64,Team,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,
65,Fremantle,9,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
66,West Coast,11,7.0,10.0,8.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
67,*Hawthorn,2,6.0,4.0,7.0,4.0,8.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
68,Sydney,5,2.0,2.0,4.0,6.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,
69,Richmond,3,9.0,5.0,9.0,11.0,13.0,10.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,
70,Western Bulldogs,8,5.0,9.0,6.0,3.0,7.0,8.0,11.0,9.0,11.0,11.0,9.0,8.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,
71,Adelaide,1,1.0,1.0,5.0,7.0,5.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,7.0,7.0,
72,North Melbourne,18,10.0,11.0,10.0,12.0,9.0,9.0,12.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,8.0,7.0,6.0,7.0,7.0,8.0,8.0,
73,Port Adelaide,10,15.0,13.0,13.0,10.0,10.0,12.0,13.0,11.0,9.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,9.0,9.0,
74,Geelong,17,18.0,15.0,16.0,14.0,12.0,13.0,10.0,12.0,10.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,8.0,8.0,9.0,9.0,11.0,10.0,
75,Greater Western Sydney,7,3.0,7.0,2.0,8.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,9.0,9.0,8.0,7.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,
76,Collingwood,6,12.0,6.0,3.0,2.0,3.0,7.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,
77,Melbourne,4,13.0,12.0,12.0,13.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,
78,St Kilda,12,8.0,14.0,15.0,16.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,
79,Essendon,14,11.0,8.0,11.0,9.0,11.0,11.0,9.0,10.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,
80,Gold Coast,15,14.0,16.0,17.0,15.0,16.0,17.0,17.0,17.0,18.0,17.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,
81,Brisbane Lions,13,17.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,18.0,18.0,17.0,
82,Carlton,16,16.0,17.0,14.0,17.0,17.0,18.0,18.0,18.0,17.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,17.0,17.0,18.0,
83,[Top],,,,,,,,,,,,,,,,,,,,,,,,
84,2014 Ladder Positions (18 teams),,,,,,,,,,,,,,,,,,,,,,,,
85,Team,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,
86,Sydney,14,14.0,11.0,13.0,13.0,9.0,7.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,
87,*Hawthorn,4,5.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,
88,Geelong,6,4.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,
89,Fremantle,1,2.0,7.0,5.0,5.0,8.0,6.0,8.0,6.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,
90,Port Adelaide,7,3.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
91,North Melbourne,16,10.0,10.0,6.0,7.0,5.0,8.0,10.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
92,Essendon,3,7.0,4.0,7.0,10.0,12.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,
93,Richmond,10,9.0,12.0,14.0,11.0,13.0,13.0,15.0,16.0,13.0,13.0,13.0,15.0,16.0,13.0,12.0,12.0,12.0,12.0,12.0,9.0,8.0,8.0,
94,West Coast,2,1.0,1.0,4.0,4.0,7.0,9.0,7.0,9.0,9.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,9.0,
95,Adelaide,13,16.0,17.0,15.0,12.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,7.0,8.0,11.0,10.0,
96,Collingwood,18,12.0,13.0,9.0,6.0,4.0,4.0,5.0,8.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,8.0,9.0,8.0,9.0,10.0,9.0,11.0,
97,Gold Coast,9,11.0,8.0,11.0,8.0,6.0,5.0,6.0,5.0,3.0,5.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,11.0,12.0,12.0,
98,Carlton,12,13.0,15.0,17.0,16.0,16.0,16.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,14.0,13.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,
99,Western Bulldogs,17,17.0,14.0,10.0,15.0,15.0,15.0,12.0,12.0,14.0,14.0,14.0,13.0,13.0,12.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,
100,Brisbane Lions,15,15.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,
101,Greater Western Sydney,5,8.0,6.0,8.0,14.0,14.0,14.0,16.0,17.0,17.0,17.0,18.0,16.0,14.0,16.0,15.0,15.0,16.0,16.0,17.0,16.0,16.0,16.0,
102,Melbourne,11,18.0,18.0,16.0,17.0,17.0,17.0,17.0,14.0,15.0,15.0,15.0,14.0,15.0,15.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,17.0,
103,St Kilda,8,6.0,9.0,12.0,9.0,11.0,12.0,14.0,15.0,16.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,
104,[Top],,,,,,,,,,,,,,,,,,,,,,,,
105,2013 Ladder Positions (18 teams),,,,,,,,,,,,,,,,,,,,,,,,
106,Team,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,
107,*Hawthorn,11,9.0,6.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
108,Geelong,8,7.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,
109,Fremantle,5,4.0,7.0,9.0,7.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,
110,Sydney,4,3.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,
111,Richmond,9,6.0,4.0,6.0,6.0,9.0,7.0,7.0,10.0,7.0,9.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,
112,Collingwood,6,5.0,8.0,7.0,8.0,7.0,8.0,8.0,11.0,8.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,6.0,
113,Port Adelaide,1,2.0,2.0,2.0,2.0,3.0,4.0,6.0,9.0,11.0,11.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,
114,Carlton,10,13.0,15.0,13.0,9.0,8.0,11.0,10.0,8.0,6.0,7.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,
115,Essendon,3,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,7.0,7.0,7.0,9.0,
116,North Melbourne,13,12.0,16.0,11.0,13.0,11.0,12.0,13.0,13.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,13.0,10.0,10.0,11.0,10.0,11.0,10.0,
117,Adelaide,16,10.0,11.0,8.0,10.0,12.0,9.0,9.0,7.0,9.0,10.0,11.0,11.0,11.0,12.0,12.0,11.0,12.0,13.0,12.0,13.0,12.0,11.0,
118,Brisbane Lions,17,17.0,14.0,16.0,12.0,14.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,12.0,13.0,12.0,13.0,12.0,10.0,12.0,
119,West Coast,14,15.0,10.0,12.0,15.0,10.0,10.0,11.0,6.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,10.0,11.0,13.0,13.0,
120,Gold Coast,7,11.0,13.0,14.0,11.0,13.0,13.0,12.0,12.0,13.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
121,Western Bulldogs,2,8.0,12.0,15.0,16.0,16.0,16.0,16.0,16.0,14.0,14.0,14.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
122,St Kilda,12,14.0,9.0,10.0,14.0,15.0,14.0,15.0,15.0,16.0,16.0,16.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
123,Melbourne,18,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,
124,Greater Western Sydney,15,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,
125,[Top],,,,,,,,,,,,,,,,,,,,,,,,
126,2012 Ladder Positions (18 teams),,,,,,,,,,,,,,,,,,,,,,,,
127,Team,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,
128,Hawthorn,6,8.0,7.0,9.0,11.0,11.0,9.0,6.0,8.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,
129,Adelaide,2,3.0,8.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,
130,*Sydney,1,4.0,3.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,
131,Collingwood,13,9.0,13.0,12.0,10.0,8.0,7.0,5.0,4.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,
